"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 16:03:14","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43915738044070013672723","0104607147564653215uYp*Z",,"0008180969026672","2025-06-15 19:57:00","2724235106","58fe5ffa-609e-4156-96f3-30e1f6593b19","Нет",,,,,,,,"04607147564653","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:58:49","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43914738044070013672723","0104607954670769215Go>uE",,"0008180969026672","2025-06-15 19:55:00","2724235106","aa8edc9b-fbfe-4224-b160-5edd9f2ed34d","Нет",,,,,,,,"04607954670769","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:58:49","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43914738044070013672723","0104607954670752215smi-t",,"0008180969026672","2025-06-15 19:55:00","2724235106","8ad2980c-ff7b-4b22-98b2-3d73ef5e9941","Нет",,,,,,,,"04607954670752","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:54:37","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43912738044070013672723","0104680062940016215<8Mcs",,"0008180969026672","2025-06-15 19:51:00","2724235106","11e9ce74-2c2f-4c26-80ab-26e09ba737f5","Нет",,,,,,,,"04680062940016","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:54:37","Молочная продукция","Хабаровский край","Хабаровский край, г Хабаровск, ул Горького, 59","43912738044070013672723","0104680062940016215<8j>:",,"0008180969026672","2025-06-15 19:51:00","2724235106","6ddb1516-da5c-4b3e-8460-18dde6163c0c","Нет",,,,,,,,"04680062940016","591d3d51-19e9-4c75-970b-e3d2048d4caf","Хабаровск","7380440700136727","Нет"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 15:49:39","Молочная продукция","Хабаровский край","Хабаровский край, г Комсомольск-на-Амуре, ул Вагонная, 13, к 3","16707380440801739457482","0104607954670752215gYEp(",,"","2025-06-15 19:44:00","2724235106","d4bdca8c-3027-4853-a838-990cf717683a","Нет",,,,,,,,"04607954670752","62c6fb95-688f-47db-a1e7-1b0be81703bd","Комсомольск-на-Амуре","7380440801739457","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:42:26","Молочная продукция","Хабаровский край","Хабаровский край, Хабаровский р-н, с Некрасовка, ул Ленина, 7","179087380440801740631482","0104660214292545215ukMDd",,"","2025-06-15 19:35:00","2724235106","a6df4cf8-b45e-4b5b-9407-2b644fd65c93","Нет",,,,,,,,"04660214292545","70945d19-8005-475b-a727-ea1a9188d392","Хабаровский","7380440801740631","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:34:30","Молочная продукция","Хабаровский край","Хабаровский край, Хабаровский р-н, с Некрасовка, ул Ленина, 7","179067380440801740631482","0104660214292538215aRccp",,"","2025-06-15 19:28:00","2724235106","ed0b8fa0-7436-49f7-9657-d0dc511c96b3","Нет",,,,,,,,"04660214292538","70945d19-8005-475b-a727-ea1a9188d392","Хабаровский","7380440801740631","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:34:30","Молочная продукция","Хабаровский край","Хабаровский край, Хабаровский р-н, с Некрасовка, ул Ленина, 7","179067380440801740631482","0104660214292538215aQhi*",,"","2025-06-15 19:28:00","2724235106","12a9216c-718b-423f-a5a2-cd8f06f365f7","Нет",,,,,,,,"04660214292538","70945d19-8005-475b-a727-ea1a9188d392","Хабаровский","7380440801740631","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:22:11","Молочная продукция","Хабаровский край","Хабаровский край, Хабаровский р-н, с Некрасовка, ул Ленина, 7","178997380440801740631482","0104660214292545215UK,L;",,"","2025-06-15 19:15:00","2724235106","c78f2f70-1c87-49a9-a7f3-9e569ece2fec","Нет",,,,,,,,"04660214292545","70945d19-8005-475b-a727-ea1a9188d392","Хабаровский","7380440801740631","Нет"
