"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:47:55","Молочная продукция","Новосибирская область","Новосибирская обл, Барабинский р-н, г Барабинск, ул Ермака, 12Б","463287380440800892961482","0104627175131030215Tz_g/",,"","2025-06-15 20:41:00","5405475428","e135b33a-7c65-4f78-8f16-c20e4a8a34f9","Нет",,,,,,,,"04627175131030","1a6813b5-1c9e-43c3-947d-d65f3cacdfb8","Барабинский","7380440800892961","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:44:51","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, ул Пролетарская, 165/1","128567380440801807081482","0104627175131030215HBS==",,"","2025-06-15 20:38:00","5405475428","222d9586-b9af-434c-97ef-e721af03c5c2","Нет",,,,,,,,"04627175131030","5ab6f772-ce34-4ba3-93a0-540b77517ae8","Новосибирск","7380440801807081","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:33:24","Молочная продукция","Новосибирская область","Новосибирская обл, Карасукский р-н, г Карасук, ул Кутузова, 8В","494597380440700616735482","0104627175131030215HKMw3",,"","2025-06-15 20:27:00","5405475428","fa59377d-d880-4e24-a6e0-d8558425901c","Нет",,,,,,,,"04627175131030","bbc43035-35ff-4b35-9c05-4ccd81863f06","Карасукский","7380440700616735","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:28:51","Молочная продукция","Новосибирская область","Новосибирская обл, Новосибирский р-н, п Садовый, ул Пасечная, 1А","152227380440801736121482","0104627175131030215JnAWD",,"","2025-06-15 20:22:00","5405475428","abac8e1d-d487-4217-a7a1-b94adb5ccef5","Нет",,,,,,,,"04627175131030","498b3236-1277-4fca-aa41-42b57e505264","Новосибирский","7380440801736121","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:28:51","Молочная продукция","Новосибирская область","Новосибирская обл, Куйбышевский р-н, г Куйбышев, ул Сиреневая, 8","188897380440800840065482","0104627175131030215VaUUp",,"","2025-06-15 20:23:00","5405475428","097a130c-3ea8-4a1d-9842-a6a2a6d10fbb","Нет",,,,,,,,"04627175131030","37054959-d8fa-4ac4-81fa-807ef2027243","Куйбышевский","7380440800840065","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:02:07","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, ул Пролетарская, 165/1","115177380440801845309482","0104627175131030215hIVDO",,"","2025-06-15 19:55:00","5405475428","f5533570-3a50-4831-b6c7-da923edcf4cc","Нет",,,,,,,,"04627175131030","5ab6f772-ce34-4ba3-93a0-540b77517ae8","Новосибирск","7380440801845309","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:59:56","Молочная продукция","Новосибирская область","Новосибирская обл, Тогучинский р-н, г Тогучин, ул Свердлова, 54","45007380440802145857482","0104627175131030215Vu&wo",,"","2025-06-15 19:53:00","5405475428","f22df182-0832-4755-95ec-547a5376ef3e","Нет",,,,,,,,"04627175131030","bb1de211-8df4-4c74-94c1-9057a35617e9","Тогучинский","7380440802145857","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:57:14","Молочная продукция","Новосибирская область","Новосибирская обл, Карасукский р-н, г Карасук, ул Кутузова, 8В","494497380440700616735482","0104631149767811215PzTdB",,"","2025-06-15 19:50:00","5405475428","fd93a917-0a79-4c60-a9f6-8d16ece375c8","Нет",,,,,,,,"04631149767811","bbc43035-35ff-4b35-9c05-4ccd81863f06","Карасукский","7380440700616735","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:44:10","Молочная продукция","Новосибирская область","Новосибирская обл, Болотнинский р-н, г Болотное, ул Московская, 213","614857380440700328557482","0104627175131030215+p0ut",,"","2025-06-15 19:42:00","5405475428","89503c0a-d9a6-4dca-afee-fc33c454823a","Нет",,,,,,,,"04627175131030","8a24281c-03aa-413c-8501-ab771a0e990c","Болотнинский","7380440700328557","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:44:10","Молочная продукция","Новосибирская область","Новосибирская обл, г Новосибирск, ул Зорге, 197","285707380440801213490482","0104627175131030215xAMny",,"","2025-06-15 19:41:00","5405475428","46221534-9d12-4758-892b-5915f2f49eb8","Нет",,,,,,,,"04627175131030","9646f7fc-132a-41ba-b42a-eb617e025615","Новосибирск","7380440801213490","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:39:42","Молочная продукция","Новосибирская область","Новосибирская обл, Здвинский р-н, с Здвинск, ул Калинина, 95","501867380440700328503482","0104631149767811215>r4m,",,"","2025-06-15 19:34:00","5405475428","9a0bf0b5-9b0a-4ad8-bf22-4a40f2be7693","Нет",,,,,,,,"04631149767811","99674136-ecc4-4571-ab95-6159260b4468","Здвинский","7380440700328503","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:29:27","Молочная продукция","Новосибирская область","Новосибирская обл, Чановский р-н, рп Чаны, ул Герцена, 1Г","367887380440700299619482","01046311497678112157ETza",,"","2025-06-15 19:25:00","5405475428","20b64dab-52aa-4b70-b5c7-8a02e43a08dd","Нет",,,,,,,,"04631149767811","11e25384-5eb1-4fd6-a8c9-8a58ec0674cf","Чановский","7380440700299619","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:29:27","Молочная продукция","Новосибирская область","Новосибирская обл, Чановский р-н, рп Чаны, ул Герцена, 1Г","367887380440700299619482","01046311497678112157Fg""O",,"","2025-06-15 19:25:00","5405475428","4e62ba78-f5c9-4665-9b93-632676516518","Нет",,,,,,,,"04631149767811","11e25384-5eb1-4fd6-a8c9-8a58ec0674cf","Чановский","7380440700299619","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:29:27","Молочная продукция","Новосибирская область","Новосибирская обл, Чановский р-н, рп Чаны, ул Герцена, 1Г","367887380440700299619482","01046311497678112157D<fO",,"","2025-06-15 19:25:00","5405475428","3a556b08-db74-49d1-bb00-d667e7f36ea0","Нет",,,,,,,,"04631149767811","11e25384-5eb1-4fd6-a8c9-8a58ec0674cf","Чановский","7380440700299619","Да"
