"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:32:44","Упакованная вода","Амурская область","Амурская обл, Бурейский р-н, пгт Новобурейский, ул Советская, 13","300117284440700590859482","0104680619130082215DByLISjv.=gn",,"","2025-06-15 18:31:00","2801216975","ef33a886-4e07-4385-8afa-c196bc8c69ae","Нет",,,,,,,,"04680619130082","ed45bfca-b409-4500-ad0d-74eb876fb083","Бурейский","7284440700590859","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:32:44","Упакованная вода","Амурская область","Амурская обл, Октябрьский р-н, п Восточный, ул Восточная, 9Б","57187284440700590875482","0104680619130082215DByLISjv.=gn",,"","2025-05-03 16:22:00","2801216975","e32c8400-d26c-4e07-887e-63c09e6a0348","Нет",,,,,,,,"04680619130082","fb42ba7f-b1b9-4909-87b2-1b9c8eb58a86","Октябрьский","7284440700590875","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:32:43","Упакованная вода","Амурская область","Амурская обл, Октябрьский р-н, п Восточный, ул Восточная, 9Б","73837284440700590878482","0104680619130082215azebogkh,-EC",,"","2025-04-30 19:45:00","2801216975","b103ea24-911f-4462-9c9c-01b26fa8675e","Нет",,,,,,,,"04680619130082","fb42ba7f-b1b9-4909-87b2-1b9c8eb58a86","Октябрьский","7284440700590878","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:32:43","Упакованная вода","Амурская область","Амурская обл, Бурейский р-н, пгт Новобурейский, ул Советская, 13","300117284440700590859482","0104680619130082215azebogkh,-EC",,"","2025-06-15 18:31:00","2801216975","e98663e1-0559-417e-872c-4bfd596bc448","Нет",,,,,,,,"04680619130082","ed45bfca-b409-4500-ad0d-74eb876fb083","Бурейский","7284440700590859","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:17:23","Упакованная вода","Амурская область","Амурская обл, Бурейский р-н, пгт Новобурейский, ул Советская, 13","235897284440700612369482","01046806191300822156Qfg'D*DoCX>",,"","2025-06-15 18:12:00","2801216975","9d03a239-24b2-42f7-9148-b36afea1e066","Нет",,,,,,,,"04680619130082","ed45bfca-b409-4500-ad0d-74eb876fb083","Бурейский","7284440700612369","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:17:23","Упакованная вода","Амурская область","Амурская обл, Октябрьский р-н, п Восточный, ул Восточная, 9Б","73837284440700590878482","01046806191300822156Qfg'D*DoCX>",,"","2025-04-30 19:45:00","2801216975","826c6bde-845b-428b-afda-daa6ea8c416c","Нет",,,,,,,,"04680619130082","fb42ba7f-b1b9-4909-87b2-1b9c8eb58a86","Октябрьский","7284440700590878","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:05:14","Упакованная вода","Амурская область","Амурская обл, Октябрьский р-н, п Восточный, ул Восточная, 9Б","72427284440700590875482","0104680619130082215BShqgVdF0sKQ",,"","2025-05-23 11:01:00","2801216975","33e7af5a-ec30-44e0-899c-f1e7584701cc","Нет",,,,,,,,"04680619130082","fb42ba7f-b1b9-4909-87b2-1b9c8eb58a86","Октябрьский","7284440700590875","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:05:14","Упакованная вода","Амурская область","Амурская обл, Бурейский р-н, пгт Новобурейский, ул Советская, 13","300077284440700590859482","0104680619130082215BShqgVdF0sKQ",,"","2025-06-15 18:03:00","2801216975","476d59cd-f3fb-4045-997f-8565dbb5741c","Нет",,,,,,,,"04680619130082","ed45bfca-b409-4500-ad0d-74eb876fb083","Бурейский","7284440700590859","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:05:14","Упакованная вода","Амурская область","Амурская обл, Бурейский р-н, пгт Новобурейский, ул Советская, 13","300077284440700590859482","0104680619130082215NAjlak/rlntB",,"","2025-06-15 18:03:00","2801216975","2f57c4db-48c0-4ec5-9135-2245f79d4dfa","Нет",,,,,,,,"04680619130082","ed45bfca-b409-4500-ad0d-74eb876fb083","Бурейский","7284440700590859","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:05:14","Упакованная вода","Амурская область","Амурская обл, Октябрьский р-н, п Восточный, ул Восточная, 9Б","137327284440700590876482","0104680619130082215NAjlak/rlntB",,"","2025-05-25 16:52:00","2801216975","b06bb821-2db0-4489-8856-1b14cc4a1b79","Нет",,,,,,,,"04680619130082","fb42ba7f-b1b9-4909-87b2-1b9c8eb58a86","Октябрьский","7284440700590876","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:05:14","Упакованная вода","Амурская область","Амурская обл, Октябрьский р-н, п Восточный, ул Восточная, 9Б","132527284440700590876482","01046806191300822152g5(Jrd!9eF<",,"","2025-05-23 12:03:00","2801216975","e199d1fa-5672-43e1-92ea-d3fc4f59c276","Нет",,,,,,,,"04680619130082","fb42ba7f-b1b9-4909-87b2-1b9c8eb58a86","Октябрьский","7284440700590876","Да"
"Повторные продажи у одного продавца","Повторные продажи у одного продавца более или равно 30 минут","2025-06-15 15:05:14","Упакованная вода","Амурская область","Амурская обл, Бурейский р-н, пгт Новобурейский, ул Советская, 13","300077284440700590859482","01046806191300822152g5(Jrd!9eF<",,"","2025-06-15 18:03:00","2801216975","999141b2-8916-4af6-b014-cab8414e3b04","Нет",,,,,,,,"04680619130082","ed45bfca-b409-4500-ad0d-74eb876fb083","Бурейский","7284440700590859","Да"
