"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 20:02:06","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Карла Маркса, 214","681687380440700375263482","0104627175131177215TRtIp",,"","2025-06-15 20:52:00","2224156015","6f089d97-34cb-4702-b227-601b5417f815","Нет",,,,,,,,"04627175131177","948bf308-4ef8-4690-a306-c6046aca8e1f","Рубцовск","7380440700375263","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:44:51","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Карла Маркса, 214","681587380440700375263482","0104627175131177215tskBI",,"","2025-06-15 20:40:00","2224156015","7ea7c35f-0ae8-45a3-90b7-9cb1c40ada75","Нет",,,,,,,,"04627175131177","948bf308-4ef8-4690-a306-c6046aca8e1f","Рубцовск","7380440700375263","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:23:39","Молочная продукция","Алтайский край","Алтайский край, Краснощёковский р-н, с Краснощёково, ул Степная, 111","170557380440801160104482","0104627175131177215LyjfH",,"","2025-06-15 20:19:00","2224156015","885fe18b-17ba-4d3b-9e4a-d6b835dc60c1","Нет",,,,,,,,"04627175131177","8017db46-0958-4a28-908e-e947cf0aa8e6","Краснощёковский","7380440801160104","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:06:40","Молочная продукция","Алтайский край","Алтайский край, Каменский р-н, г Камень-на-Оби, ул Гагарина, 111","640107380440700441963482","0104627175131177215j;O?m",,"","2025-06-15 20:00:00","2224156015","c52dcfe5-5614-48c9-9b42-ecb806b0dd33","Нет",,,,,,,,"04627175131177","37ac4795-fe14-40fc-8b4c-e7e750b2fb40","Каменский","7380440700441963","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:04:23","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Строительная, 1","751857380440700400639482","0104627175131177215nsTfn",,"","2025-06-15 19:58:00","2224156015","d68c922a-0d2d-4224-8e97-85727699b014","Нет",,,,,,,,"04627175131177","4c7bb129-a94c-48d1-bbe6-af0ac057a6a4","Рубцовск","7380440700400639","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 19:04:23","Молочная продукция","Алтайский край","Алтайский край, Мамонтовский р-н, с Мамонтово, ул Пушкинская, 12/3","373707380440801145706482","0104627175131177215mbeKd",,"","2025-06-15 19:56:00","2224156015","ee6a4b11-99cc-4f95-8df2-0cdff40924b8","Нет",,,,,,,,"04627175131177","3a64a005-4a88-4652-ad54-bfce2a73ddfb","Мамонтовский","7380440801145706","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:59:56","Молочная продукция","Алтайский край","Алтайский край, Каменский р-н, г Камень-на-Оби, ул Гагарина, 111","640087380440700441963482","0104627175131177215/V%ZJ",,"","2025-06-15 19:52:00","2224156015","41586bd0-8f95-491b-9c62-e7ae44aa7f38","Нет",,,,,,,,"04627175131177","37ac4795-fe14-40fc-8b4c-e7e750b2fb40","Каменский","7380440700441963","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:59:56","Молочная продукция","Алтайский край","Алтайский край, Поспелихинский р-н, с Поспелиха, ул Коммунистическая, 103","595407380440700444948482","0104627175131177215D.CFb",,"","2025-06-15 19:53:00","2224156015","3cee5ceb-4dbc-4502-a404-864b161870c8","Нет",,,,,,,,"04627175131177","eb097554-7e17-44f6-accc-4687168ebe9c","Поспелихинский","7380440700444948","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:59:56","Молочная продукция","Алтайский край","Алтайский край, г Рубцовск, ул Карла Маркса, 214","681387380440700375263482","0104627175131177215q1coa",,"","2025-06-15 19:49:00","2224156015","48d0021d-ab76-4809-87e7-35d8cc7f25f4","Нет",,,,,,,,"04627175131177","948bf308-4ef8-4690-a306-c6046aca8e1f","Рубцовск","7380440700375263","Да"
"Продажа товара с некорректным статусом РД","Продажа товара с некорректным статусом РД","2025-06-15 18:57:20","Молочная продукция","Алтайский край","Алтайский край, г Новоалтайск, ул Промплощадка, 5","47947384440900661951482","0104603731310057215Ih4ds",,"","2025-06-15 19:49:00","2224156015","8df9bbe2-9ccc-4768-a156-2df4c0455b1d","Нет",,,,,,,,"04603731310057","610453c8-7493-44c0-a4d9-58fd31d0244a","Новоалтайск","7384440900661951","Да"
