"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 18:57:16","Молочная продукция","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Комарова, 119","32997380440801731434482","0104607013360594215qCEMo",,"","2025-06-15 20:50:00","7536113009","7f874a0a-130e-41a2-8168-e4a5a092abc1","Нет",,,,,,,,"04607013360594","cac2bf10-f5a8-430a-aec5-2f25d49b11a9","Улан-Удэ","7380440801731434","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 17:54:53","Молочная продукция","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Комарова, 119","32877380440801731434482","0104607013360594215p?os*",,"","2025-06-15 19:46:00","7536113009","b6f8b51b-7afd-4351-9b25-c88028166b78","Нет",,,,,,,,"04607013360594","cac2bf10-f5a8-430a-aec5-2f25d49b11a9","Улан-Удэ","7380440801731434","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 17:17:18","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252987380440700708282482","0104607013360594215nJZuD",,"","2025-06-15 20:11:00","7536113009","33ba977c-b1a0-4235-9b4c-780c4e59918e","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 17:17:18","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252987380440700708282482","0104607013360594215u6Maw",,"","2025-06-15 20:11:00","7536113009","dfb24d98-30d1-4c74-92b9-e4737ba5c915","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 16:16:28","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252897380440700708282482","0104607013360594215JEYyF",,"","2025-06-15 19:09:00","7536113009","956cf4d2-2df4-4e1c-ae0e-3e154a496e0d","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:52:09","Молочная продукция","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Комарова, 119","32467380440801731434482","0104607013360594215w/R'G",,"","2025-06-15 17:47:00","7536113009","d3560a19-d2af-44ee-ae61-f92b61b8b39f","Нет",,,,,,,,"04607013360594","cac2bf10-f5a8-430a-aec5-2f25d49b11a9","Улан-Удэ","7380440801731434","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:22:13","Молочная продукция","Республика Бурятия","Респ Бурятия, г Северобайкальск, ул Морских пехотинцев, 7Б/5","28897380440700704155482","0104603406005141215D*Lan",,"","2025-06-15 17:18:00","7536113009","8099463b-95eb-41e8-a5d0-66207025861a","Нет",,,,,,,,"04603406005141","c4819dec-a40a-4862-983c-ae793dd302ee","Северобайкальск","7380440700704155","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:22:13","Молочная продукция","Республика Бурятия","Респ Бурятия, г Северобайкальск, ул Морских пехотинцев, 7Б/5","28897380440700704155482","0104603406005141215litU'",,"","2025-06-15 17:18:00","7536113009","192285ca-00c7-472a-95ab-030f226bdeb6","Нет",,,,,,,,"04603406005141","c4819dec-a40a-4862-983c-ae793dd302ee","Северобайкальск","7380440700704155","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:22:13","Молочная продукция","Республика Бурятия","Респ Бурятия, г Северобайкальск, ул Морских пехотинцев, 7Б/5","28897380440700704155482","0104603406005141215*UTok",,"","2025-06-15 17:18:00","7536113009","e615967c-029c-4561-8000-9c09e6850ae9","Нет",,,,,,,,"04603406005141","c4819dec-a40a-4862-983c-ae793dd302ee","Северобайкальск","7380440700704155","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 15:22:13","Молочная продукция","Республика Бурятия","Респ Бурятия, г Северобайкальск, ул Морских пехотинцев, 7Б/5","28897380440700704155482","0104603406005141215FePn<",,"","2025-06-15 17:18:00","7536113009","61fcc0c4-dc8c-46ce-8897-1ef757e25fa4","Нет",,,,,,,,"04603406005141","c4819dec-a40a-4862-983c-ae793dd302ee","Северобайкальск","7380440700704155","Нет"
"Повторные продажи у разных продавцов","Повторные продажи у разных продавцов","2025-06-15 14:44:58","Молочная продукция","Республика Бурятия","Респ Бурятия, г Улан-Удэ, ул Оцимика, 30Б","40637380440801731587482","0104600605029275215I=Sln",,"","2025-06-13 11:33:00","7536113009","cc27f124-81bf-4e1b-b8d5-62d752e325df","Нет",,,,,,,,"04600605029275","f326c170-43dd-42fa-84b8-570e25b9fb16","Улан-Удэ","7380440801731587","Да"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 14:10:02","Молочная продукция","Республика Бурятия","Респ Бурятия, Тарбагатайский р-н, с Тарбагатай, ул Рокоссовского, 6Д","470127281440500981910482","0104607013360594215;bN+Y",,"","2025-06-15 16:04:00","7536113009","022ad1d5-06ab-4a0b-a984-decbbd7ad08f","Нет",,,,,,,,"04607013360594","6747722f-0e58-45fb-b6d9-0490cb1f06c7","Тарбагатайский","7281440500981910","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:25:28","Молочная продукция","Забайкальский край","Забайкальский край, Улётовский р-н, с Улёты, ул Пионерская, 2","59367380440700709004482","0104603406005141215eBmpp",,"","2025-06-15 15:13:00","7536113009","64bad0bd-1d82-42ab-9cb4-d9c4feef8627","Нет",,,,,,,,"04603406005141","d4e4f550-3e45-4058-997a-624e04b08807","Улётовский","7380440700709004","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:25:28","Молочная продукция","Забайкальский край","Забайкальский край, Улётовский р-н, с Улёты, ул Пионерская, 2","59367380440700709004482","0104603406005141215O8Y_U",,"","2025-06-15 15:13:00","7536113009","9c97eeca-4b07-46fb-ad79-0957160a8a95","Нет",,,,,,,,"04603406005141","d4e4f550-3e45-4058-997a-624e04b08807","Улётовский","7380440700709004","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:25:28","Молочная продукция","Забайкальский край","Забайкальский край, Улётовский р-н, с Улёты, ул Пионерская, 2","59367380440700709004482","0104603406005141215RSEKk",,"","2025-06-15 15:13:00","7536113009","7ec74a0c-ee21-4d99-8258-f3c070d39bf2","Нет",,,,,,,,"04603406005141","d4e4f550-3e45-4058-997a-624e04b08807","Улётовский","7380440700709004","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","0104607013360594215KfXYF",,"","2025-06-15 15:11:00","7536113009","928aa331-e5bd-4f32-b6c6-9cc11a5a8a7b","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","01046070133605942152BE%F",,"","2025-06-15 15:11:00","7536113009","700b6b6d-953c-474f-a58c-b6dc2afd7302","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","0104607013360594215srA&.",,"","2025-06-15 15:11:00","7536113009","0ffa2b8a-ecf0-4d4a-858c-65f9af0fb2b4","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","0104607013360594215grrfv",,"","2025-06-15 15:11:00","7536113009","d2c480b9-19f2-423d-9596-635a74b0f5de","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","0104607013360594215FL%Rd",,"","2025-06-15 15:11:00","7536113009","7f3e69f3-7eeb-466a-aa20-975ad9d016bf","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","0104607013360594215SiY%T",,"","2025-06-15 15:11:00","7536113009","040ee1d9-9eab-4fd4-992a-2080af0d3a09","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","0104607013360594215J<(Q""",,"","2025-06-15 15:11:00","7536113009","00cdab62-1de4-4e41-96dc-ab1dde435e24","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","0104607013360594215.iS8p",,"","2025-06-15 15:11:00","7536113009","90cb0284-f751-4930-a3b9-87a8a9709ffa","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","0104607013360594215KRcmO",,"","2025-06-15 15:11:00","7536113009","662f53a4-7c00-4ebf-8679-297355cbc3b2","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
"Выбытие товара с превышением объема по ВСД","Выбыл из оборота товар с превышением объема по ВСД","2025-06-15 12:18:43","Молочная продукция","Забайкальский край","Забайкальский край, Петровск-Забайкальский р-н, г Петровск-Забайкальский, ул Металлургов, 129","252567380440700708282482","0104607013360594215)EIJW",,"","2025-06-15 15:11:00","7536113009","174b093f-a2ca-4198-980e-a047291b2cef","Нет",,,,,,,,"04607013360594","9178b89f-e916-4995-b21d-9a4a76ce14c8","Петровск-Забайкальский","7380440700708282","Нет"
