"Вид отклонения","Результат проверки","Дата и время регистрации отклонения","Товарная группа","Субъект","Адрес места фиксации отклонения","Номер документа","Код","Идентификатор ВСД","Регистрационный номер ККТ (из чека)","Дата и время выполнения операции, в результате которой было выявлено отклонение","ИНН участника","Номер отклонения","Нивелировано","Объем из ВСД","Единицы измерения из ВСД","Объем из ГИС МТ","Единицы измерения из ГИС МТ","Разницы между объемами","Единицы измерения разницы","% превышения","GTIN","Идентификатор ФИАС","Муниципальный округ","Фискальный номер накопителя из чека операции","Проверка РР"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:40:03","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3095738044080212214923","0104607168782401215j!9Pr",,"0000480852018314","2025-06-15 16:35:00","2462221738","0695e78d-8a04-4f2f-b8a9-07ccf3856bf5","Нет",,,,,,,,"04607168782401","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:37:19","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3094738044080212214923","01046070985631252158QMB;",,"0000480852018314","2025-06-15 16:31:00","2462221738","e62981ea-916a-4d70-b942-9e55076edb88","Нет",,,,,,,,"04607098563125","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:37:19","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3094738044080212214923","01046070985631252158potU",,"0000480852018314","2025-06-15 16:31:00","2462221738","014ba883-daaa-4649-9fb1-c682a4c2bb7a","Нет",,,,,,,,"04607098563125","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:27:10","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3091738044080212214923","01046200211943712152Rmdh",,"0000480852018314","2025-06-15 16:22:00","2462221738","61b621ff-9dfd-452f-8cda-7ec99773945e","Нет",,,,,,,,"04620021194371","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:27:10","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3091738044080212214923","0104620021194371215FZSbo",,"0000480852018314","2025-06-15 16:22:00","2462221738","66954934-8b1a-45ef-bfd5-255d0133c233","Нет",,,,,,,,"04620021194371","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:27:10","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3091738044080212214923","0104620021194371215vW%oS",,"0000480852018314","2025-06-15 16:22:00","2462221738","1adb90de-7a74-4a4e-b03b-382cad99fe91","Нет",,,,,,,,"04620021194371","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:27:10","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3091738044080212214923","0104607098566850215c==J1",,"0000480852018314","2025-06-15 16:22:00","2462221738","5f31dbd6-92e7-4987-913b-7193092e9e51","Нет",,,,,,,,"04607098566850","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:27:10","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3091738044080212214923","01046070985631252155iUWG",,"0000480852018314","2025-06-15 16:22:00","2462221738","a403df23-a83f-4961-b7d3-12b272cc9597","Нет",,,,,,,,"04607098563125","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:27:10","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3091738044080212214923","01046070985631252156YE4H",,"0000480852018314","2025-06-15 16:22:00","2462221738","07ec989a-df0e-41d9-8399-dd3b01152010","Нет",,,,,,,,"04607098563125","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:27:10","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3091738044080212214923","01046070985631252155K7_q",,"0000480852018314","2025-06-15 16:22:00","2462221738","a8396847-b2aa-4fbe-81e9-0a89f6b6a14a","Нет",,,,,,,,"04607098563125","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:27:10","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3091738044080212214923","0104607098567536215QBRcZ",,"0000480852018314","2025-06-15 16:22:00","2462221738","4f693626-abf9-4d06-8d40-459528444879","Нет",,,,,,,,"04607098567536","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:22:11","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3090738044080212214923","0104607058922856215PbWTu",,"0000480852018314","2025-06-15 16:17:00","2462221738","efb6312d-34e9-48e9-8b61-a9080f28f309","Нет",,,,,,,,"04607058922856","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:22:11","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3090738044080212214923","0104620021194371215Acb5s",,"0000480852018314","2025-06-15 16:17:00","2462221738","bd1e9299-3d13-4173-83d3-51f756e8863a","Нет",,,,,,,,"04620021194371","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:22:11","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3090738044080212214923","01046200211943712152NT9V",,"0000480852018314","2025-06-15 16:17:00","2462221738","9fb51ef8-c267-40ba-b33b-4c29b963fd14","Нет",,,,,,,,"04620021194371","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:22:11","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3090738044080212214923","0104607098567239215zOX_i",,"0000480852018314","2025-06-15 16:17:00","2462221738","d0b7b089-7c6a-4cc0-953f-10f279324fa0","Нет",,,,,,,,"04607098567239","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
"Разрешительный режим","Продажа товара без проверки КМ","2025-06-15 15:22:11","Молочная продукция","Красноярский край","Красноярский край, Большемуртинский р-н, пгт Большая Мурта, ул Советская, 161","3090738044080212214923","0104607098567239215zx=gi",,"0000480852018314","2025-06-15 16:17:00","2462221738","a4c1661f-c67e-4395-8496-560fc7375edb","Нет",,,,,,,,"04607098567239","88a6704b-75d9-471a-a755-6ee54d57a5cc","Большемуртинский","7380440802122149","Нет"
